Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,E10+,76.0
3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,E,75.0
N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,M,85.0
PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,T,92.0
X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,M,78.5
PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,T,91.5
Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,E10+,73.5
PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,M,48.5
X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,M,89.0
SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,71.0,22.0,7.5,24.0,Unknown,73.0
3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,E,87.5
DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,E,75.0
X360,2011,Role-Playing,Other,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,M,90.0
SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,71.0,22.0,7.5,24.0,Unknown,73.0
PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,E,62.5
XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,M,88.5
Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,E,71.0
Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,E,62.5
PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,E,77.0
N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,71.0,22.0,7.5,24.0,Unknown,73.0
PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,T,89.5
PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,T,81.0
Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,71.0,22.0,7.5,24.0,Unknown,73.0
PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,71.0,22.0,7.5,24.0,Unknown,73.0
PS,1999,Role-Playing,Other,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,T,88.0
2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,E,84.0
PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,M,82.0
PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,M,70.0
N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,71.0,22.0,7.5,24.0,Unknown,73.0
PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,E,67.5
PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,71.0,22.0,7.5,24.0,Unknown,73.0
3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,71.0,22.0,7.5,24.0,Unknown,73.0
Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,E,94.0
NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,71.0,22.0,7.5,24.0,Unknown,73.0
XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,M,80.0
X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,M,79.0
PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,E,85.5
Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,E10+,64.5
PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,M,80.0
PS4,2015,Role-Playing,Other,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,M,76.0
PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,T,93.5
Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,T,92.5
3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,71.0,22.0,7.5,24.0,Unknown,73.0
PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,E,90.0
WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,E,89.5
GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,T,91.5
GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,71.0,22.0,7.5,24.0,Unknown,73.0
PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,E,84.0
PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,T,86.5
PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,71.0,22.0,7.5,24.0,Unknown,73.0
Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,E10+,73.5
X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,M,85.0
PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,T,87.5
Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,71.0,22.0,7.5,24.0,E,73.0
PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,M,89.0
PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,T,92.0
PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,E,74.0
NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,71.0,22.0,7.5,24.0,Unknown,73.0
PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,M,91.5
PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,E,64.5
PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,M,77.0
Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,E,86.5
XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,M,91.5
PS3,2011,Role-Playing,Other,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,M,78.0
GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,E,83.0
PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,E,86.5
GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,M,77.0
X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,M,92.5
GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,E,89.0
SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,71.0,22.0,7.5,24.0,Unknown,73.0
PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,T,83.0
PS,1999,Action,Other,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,T,84.0
X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,M,84.5
X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,E10+,73.5
X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,M,88.5
PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,E,69.5
PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,M,91.5
GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,71.0,22.0,7.5,24.0,Unknown,73.0
PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,M,94.0
PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,M,90.5
PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,T,84.0
PS3,2013,Action,Other,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,M,93.0
PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,E,81.5
PS,1998,Action,Other,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,M,90.5
DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,E10+,87.5
PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,T,89.0
PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,T,68.5
Wii,2007,Action,Other,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,E10+,84.5
DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,E,69.5
NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,71.0,22.0,7.5,24.0,Unknown,73.0
N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,71.0,22.0,7.5,24.0,Unknown,73.0
PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,M,88.5
X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,M,79.0
X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,E,86.0
GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,E,81.0
PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,T,84.0
PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,T,91.0
XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,M,88.0
GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,E,88.0
GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,71.0,22.0,7.5,24.0,Unknown,73.0
N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,71.0,22.0,7.5,24.0,Unknown,73.0
PS2,2001,Platform,Other,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,E,68.5
PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,M,80.5
PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,T,86.0
GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,71.0,22.0,7.5,24.0,Unknown,73.0
PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,T,78.0
GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,71.0,22.0,7.5,24.0,Unknown,73.0
PS,2000,Role-Playing,Other,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,T,91.5
X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,M,75.5
PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,T,75.5
N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,71.0,22.0,7.5,24.0,Unknown,73.0
XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,M,67.5
PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,M,89.0
PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,13.0,7.5,24.0,T,80.0
3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,71.0,22.0,7.5,24.0,Unknown,73.0
WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,E,82.5
PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,T,88.5
GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,E,85.5
GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,E,75.5
SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,71.0,22.0,7.5,24.0,Unknown,73.0
PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,M,64.0
PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,T,72.0
GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,71.0,22.0,7.5,24.0,Unknown,73.0
PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,71.0,22.0,7.5,24.0,Unknown,73.0
PS2,2006,Misc,Other,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,T,88.5
X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,M,72.5
DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,71.0,22.0,7.5,24.0,Unknown,73.0
PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,M,79.5
DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,E,85.0
GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,71.0,22.0,7.5,24.0,Unknown,73.0
PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,E,84.5
PS,1996,Action,Other,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,M,90.5
PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,M,83.0
PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,T,92.0
PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,71.0,22.0,7.5,24.0,Unknown,73.0
PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,71.0,22.0,7.5,24.0,Unknown,73.0
PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,T,82.0
Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,T,69.5
DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2008,Role-Playing,Other,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,M,89.0
PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,T,84.5
PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,E,84.0
N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,71.0,22.0,7.5,24.0,Unknown,73.0
PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,71.0,22.0,7.5,24.0,Unknown,73.0
WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,71.0,22.0,7.5,24.0,Unknown,73.0
NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,71.0,22.0,7.5,24.0,Unknown,73.0
PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,T,87.5
PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,M,77.0
PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,M,89.5
PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,E,89.0
DS,2007,Action,Other,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,E,67.0
PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,T,69.5
X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,T,90.5
